pref,ntt,nikkei,och2022,tea2022,cof2022,coc2022,fru2022,sod2022,yak2022,lac2022,wat2022,spo2022,och2021,tea2021,cof2021,coc2021,fru2021,sod2021,yak2021,lac2021,wat2021,spo2021,och2020,tea2020,cof2020,coc2020,fru2020,sod2020,yak2020,lac2020,wat2020,spo2020,och2019,tea2019,cof2019,coc2019,fru2019,sod2019,yak2019,lac2019,wat2019,spo2019,och2018,tea2018,cof2018,coc2018,fru2018,sod2018,yak2018,lac2018,wat2018,spo2018,och2017,tea2017,cof2017,coc2017,fru2017,sod2017,yak2017,lac2017,wat2017,spo2017,och2016,tea2016,cof2016,coc2016,fru2016,sod2016,yak2016,lac2016,wat2016,spo2016,och2015,tea2015,cof2015,coc2015,fru2015,sod2015,yak2015,lac2015,wat2015,spo2015,och2014,tea2014,cof2014,coc2014,fru2014,sod2014,yak2014,lac2014,wat2014,spo2014,och2013,tea2013,cof2013,coc2013,fru2013,sod2013,yak2013,lac2013,wat2013,spo2013
ñkäCìπ,E,O,3678,684,6112,357,7069,9048,4407,2455,3861,1407,2867,963,4843,422,7669,7764,2591,1980,2422,1292,2872,955,4610,301,8504,8072,2291,2445,2399,1461,3765,1095,4465,376,7748,9084,3052,1457,3569,1402,2873,506,4086,340,6655,5973,2634,2013,3495,1424,2378,595,5096,566,7404,6318,2901,1677,2544,1131,2589,678,4796,426,8809,6638,3049,2204,3775,1653,2862,638,4872,331,7776,7214,3276,1573,2378,1646,2781,788,5244,375,7771,6057,2365,1460,2464,0,2951,853,5023,369,7383,5476,2307,1308,2246,0
ê¬êXåß,E,O,2117,368,6245,499,10291,9412,7545,3137,2390,1931,1724,532,5135,321,10091,8732,5487,2442,1811,1491,2244,494,6002,516,10097,9530,3555,2822,3098,1809,2283,390,4890,317,8946,7607,2728,1753,1608,1305,2087,279,6221,230,10379,6995,3925,1554,1409,1334,2340,475,5794,556,12336,8236,4423,2870,1560,1948,2432,309,6915,346,11617,8862,3596,1940,1079,2018,1658,343,5757,430,9642,7295,3039,1660,1092,1966,2670,383,6615,356,11648,8188,3247,1301,1219,0,3252,697,3930,450,11526,6114,2872,1373,840,0
ä‚éËåß,E,O,3652,537,4703,429,8215,9336,4419,2949,3187,1759,3528,543,4385,394,8849,9312,2871,2295,2961,1386,3405,651,4738,335,9072,7919,3499,2122,2475,1906,3284,740,4726,738,9538,6472,3382,2243,3232,1752,3311,487,3812,362,10556,5759,3020,2690,3238,1874,4098,458,3750,443,7976,6738,3313,2082,1886,1368,3024,658,5129,381,9736,6185,2787,1313,2581,2362,4650,483,3250,445,9364,4832,3344,1642,1682,1180,3854,745,3589,424,8757,6196,3459,1370,1685,0,3174,576,3615,351,8359,3952,2511,1424,2178,0
ã{èÈåß,E,O,3272,640,5132,394,7228,9268,4456,2643,4679,1775,4490,1897,5771,335,7045,8795,5471,1784,3544,1589,4335,1180,4328,432,8064,6894,4616,1892,2880,1203,4510,1151,4209,378,8269,5474,3693,2026,2843,1639,5328,926,3728,450,7873,6815,4590,2002,3253,1428,4068,829,4609,480,8902,4781,3005,1956,3357,1789,5046,721,4343,443,9597,5840,3577,1390,3479,1595,4092,715,3504,351,8882,5478,3675,1506,3839,1913,4587,627,4325,288,8243,4621,4234,1749,3260,0,5131,1171,3432,326,10019,5446,4534,1223,2768,0
èHìcåß,E,O,2472,536,4348,234,9393,6641,5160,1670,2184,1624,3953,566,3159,324,8683,6313,4416,1692,3993,1417,3827,889,3425,310,7954,4938,4687,1440,2626,1123,3618,533,3540,255,7894,5262,2470,1449,2117,1430,3340,514,3877,399,8066,6652,3469,2040,2557,1307,4260,508,3877,455,7874,7713,3394,1992,2189,1429,3510,387,4084,415,8478,5798,3320,1668,2276,1627,3831,369,3048,362,6880,5154,2806,1041,2367,1475,3345,480,3884,394,7019,4769,2230,1117,2444,0,3462,568,4445,301,7808,4625,2888,1380,1817,0
éRå`åß,E,O,2945,619,4380,471,8613,10649,4443,2212,2883,2252,2492,492,4038,294,6885,10565,4664,2062,2240,1992,3286,895,3903,295,8101,9035,4316,2116,2319,1987,3673,657,4026,340,7936,7134,2947,2344,1760,1820,2867,555,4901,440,8869,6544,2927,1961,2413,1936,2845,645,3967,395,8218,6721,4609,2074,2190,1950,3853,516,4880,345,9034,7951,4762,1498,2077,1882,2892,504,5735,466,7501,6283,4185,1616,2125,2091,3862,498,4043,383,8988,6437,3855,1708,2373,0,3406,841,3437,411,9366,5537,4013,1528,1157,0
ïüìáåß,E,O,2708,777,5992,623,8781,8540,6326,3666,5481,2879,4103,1104,4922,246,8659,6428,5584,3274,6474,1550,3685,467,4585,301,6784,8199,7071,2714,3272,1526,3634,496,4806,375,8173,6896,5072,2800,3766,1448,3501,616,4590,290,7507,5497,4510,2318,3676,1524,4315,487,4312,467,8617,5313,6999,2098,3903,1475,2889,438,4875,631,8601,6220,4831,2184,5325,1595,3490,1161,3560,503,9091,5581,5800,2030,4010,2051,3523,425,3220,377,7549,5533,4595,1463,4362,0,3645,383,4755,365,8203,4735,4291,1640,4098,0
àÔèÈåß,E,O,3779,930,4656,398,5139,7170,5598,2155,5309,1820,4065,981,4497,368,7143,6872,4969,2635,4221,1150,4023,911,5388,366,7846,6495,4452,2215,5678,1542,3013,867,5426,409,7942,7049,4807,3160,5167,2095,4371,589,4320,383,8685,5709,5643,1746,4506,2037,5892,640,5139,393,8033,5317,4758,1769,4039,1210,3891,650,4523,475,7739,5598,4379,1413,5421,1930,4998,733,5013,371,8975,5864,4250,2001,5258,1385,6002,632,4313,387,7755,5053,3285,1247,2979,0,5164,991,2971,481,10245,4554,3749,1810,4125,0
ì»ñÿåß,E,O,3589,702,5138,299,7155,9716,5104,2842,3353,1883,3586,908,6045,422,5896,7206,4129,3045,3366,1883,4098,822,4198,380,7456,7812,4197,2708,3880,1611,3710,916,4903,551,8232,6636,4265,2372,4153,2259,4410,517,5771,445,8241,5099,3874,2705,3224,2245,5083,585,4708,580,9691,4988,5394,2553,4507,2037,4243,832,3406,422,7969,4246,3858,1222,2764,1778,4991,827,4632,292,7622,5217,3387,1686,3112,2002,3801,982,5312,464,8678,5084,4426,1802,3624,0,5678,702,5795,447,9304,6386,4296,1842,3879,0
åQînåß,E,O,2965,1038,6333,344,8921,6659,9195,2657,4734,1748,5058,1214,4924,404,7644,7624,6413,2047,4630,1637,4612,931,4210,477,8538,6842,8720,2888,4299,1591,4147,437,6085,358,7103,4512,8062,1797,2910,1697,4050,535,5243,418,8465,5198,6316,1712,3633,2157,4177,1065,4257,300,7948,5843,7883,2040,3875,1913,3909,760,4033,450,8724,4949,7713,2053,2848,1898,4832,1073,3892,399,8755,4565,7495,1875,3697,2016,4988,859,4222,380,8685,4517,5663,1852,2463,0,4597,598,3629,379,8590,5267,5608,1151,3523,0
çÈã åß,E,S,3125,1201,5964,339,8081,7979,4343,3154,5068,1509,3446,1359,5595,549,9140,10329,5150,2894,3746,1377,4047,951,4978,396,8298,7129,4134,2414,5179,1613,4674,1099,5018,321,8436,6439,3233,1986,3359,1320,4590,1879,5081,454,9057,6731,4004,1896,3669,1765,4723,788,4241,492,7018,4778,4070,1532,4026,1114,5352,1101,3800,398,8136,5530,2771,1525,4753,1293,6028,947,4048,208,7530,5416,3080,1362,4396,1200,4835,876,4134,452,7144,4950,4691,1227,5070,0,4644,897,5564,464,8414,5738,3621,1136,4299,0
êÁótåß,E,S,4261,1132,4942,336,8288,9597,3188,2797,3962,1737,5173,1062,4795,429,7634,7124,4715,2437,3924,1926,4224,1126,4409,432,7330,7084,4731,1912,4968,1377,4188,868,4755,314,6901,7667,4315,2437,4594,1659,4360,900,4558,462,8296,7349,3980,2579,4096,1754,4911,1048,4841,285,6295,4844,4529,1376,3887,1235,4555,772,5040,545,8409,5298,5352,2024,5187,1658,4393,648,4048,325,8616,4782,3747,2189,3620,1131,6750,477,4136,364,7294,5985,5229,2015,4765,0,5807,903,3659,437,9469,5229,3840,1328,6258,0
ìåãûìs,E,S,4163,1018,4571,416,6909,7178,4722,2797,4567,1262,4425,1234,4793,321,8010,7637,5418,2858,5214,1100,4444,1248,4752,359,8877,7448,4734,2596,4863,1024,4428,1448,5009,298,7219,5736,4524,2358,5409,1127,4746,1384,4859,391,8555,5880,4387,1921,4443,1301,4864,1273,4017,487,7282,5215,3418,1775,5223,1120,5259,1037,4461,386,7921,5461,3354,1563,4754,1215,4304,1296,4336,487,7861,5275,3518,1452,4511,1182,5678,1288,4213,358,8035,5426,3066,1232,4882,0,5387,1057,4568,373,9346,5400,2543,1372,5435,0
ê_ìﬁêÏåß,E,S,4723,1220,3866,426,7905,8669,4022,2275,5218,1236,4736,1364,4448,500,7440,7808,3416,2815,5144,1510,4548,1247,4092,444,7891,7143,3214,2285,4209,1519,5413,1286,4067,358,7045,5632,3645,1757,4235,1223,4838,1198,3769,487,8096,5328,3936,1662,4168,1273,5208,1127,3889,555,7647,4608,3622,1168,4651,1066,6245,1821,3192,401,7323,3820,3123,1255,3557,1044,6049,1443,3612,409,8881,3899,3585,1343,4022,1427,5713,933,3331,402,7277,5751,3213,1201,3061,0,5644,1499,3367,382,9762,4521,2536,1044,3353,0
êVäÉåß,E,O,3412,798,4066,351,5752,9083,7957,2719,3185,1770,3627,694,4732,402,7017,8262,4301,2702,3286,1658,2112,1150,4975,475,7237,7094,3685,2030,2825,1763,3111,972,4180,367,6957,6128,4574,2583,2843,1595,3252,466,4399,364,7462,4380,5315,1843,1878,1517,4509,554,4556,452,5522,5590,5177,1891,1855,1192,3623,689,4772,508,7258,5755,5074,1811,2700,1412,4266,473,3585,382,6608,5919,5042,1907,1634,1097,3974,463,3335,332,7266,4482,3617,1193,1802,0,4725,784,4682,300,7963,5633,3596,1134,2559,0
ïxéRåß,W,O,2704,778,6320,476,8066,7015,5791,2748,3017,1587,2606,471,6393,310,9999,7566,3486,3317,2453,1918,2912,607,6444,348,8148,7577,3217,2109,1780,1914,2438,330,6457,373,7609,5083,4152,2061,1855,1935,2327,490,7264,408,9369,4851,4162,1772,2550,1635,2091,379,4893,608,8488,4711,4108,2003,1642,1621,2837,430,6765,398,10479,5939,2802,1942,1655,1529,3334,475,5539,509,8693,4230,3393,1590,1416,2061,2531,326,6875,424,11464,5206,3398,2049,1295,0,3306,420,4435,409,9730,3799,3191,1713,1951,0
êŒêÏåß,W,O,2804,556,5070,457,7267,7196,8568,2603,3313,2044,3135,671,5546,475,7740,6999,6477,3111,2518,1569,2640,478,5036,765,7811,6946,4534,2944,3402,1140,3949,827,5727,545,9724,6418,4142,2186,2142,1698,3689,665,6013,631,8514,5302,5347,1684,2321,1714,3388,560,5165,536,8611,4952,6039,1604,2583,1420,3163,454,5457,587,7563,4813,3854,1577,2033,1478,3182,631,5227,536,7452,3606,4572,1828,3032,1337,3744,784,5631,370,8836,4560,5343,1850,2644,0,3586,795,4730,452,9761,4373,4234,1540,2306,0
ïüà‰åß,W,O,2423,596,5203,280,7265,5592,6128,2385,2399,1313,2626,433,5691,348,6004,6043,5205,1564,3110,1464,2967,546,5968,287,7660,6503,5456,2483,2701,1388,2421,285,5909,329,7892,5000,3994,1963,1845,1040,2616,433,5498,255,7199,4118,3524,1413,1984,1261,2946,401,4426,365,7879,4672,4227,1501,1961,952,3028,287,4655,456,8324,4926,4354,1294,1690,850,2901,342,5533,328,8125,5239,2816,1472,2172,1455,3064,379,5546,334,6772,4442,3270,1243,1832,0,2727,353,5422,502,7726,4472,2479,1767,1643,0
éRóúåß,E,O,3046,854,4705,271,6986,6771,5964,3022,4072,1730,3081,814,4518,356,8827,8128,3799,3226,2821,1571,2853,608,5621,245,7010,8389,3973,2778,3552,1425,2930,620,5291,257,6538,5527,3338,2596,3804,1267,2798,755,3955,328,6676,5785,3816,2019,2346,1540,4372,738,4291,491,7294,4519,3232,1839,2516,1358,4569,806,4027,321,7827,4609,4248,1830,3393,1146,3468,834,4063,461,8672,4467,2834,1718,4801,1597,3187,1173,3580,472,9210,5457,4296,1028,1786,0,4704,1090,3080,374,8939,4779,3841,1376,1624,0
í∑ñÏåß,E,O,3728,718,4577,372,5890,6613,4730,2546,3397,1425,3431,603,6206,241,5772,6224,3220,2259,3135,1605,3492,480,5035,343,7504,6038,3262,1801,2512,1154,3850,935,4570,306,7984,4623,3390,1616,2168,1284,3522,503,5864,348,7455,4868,4082,1516,2050,1208,3819,480,4698,322,7881,4057,4507,1775,1684,1067,4171,559,4155,425,7242,4978,3453,1723,2589,1532,4195,751,5653,270,7771,4111,3220,1415,2267,1347,5225,694,4219,282,7252,4688,5149,1306,2318,0,3399,856,3100,355,8849,3806,3434,1155,2632,0
äÚïååß,W,O,2831,712,6161,253,7790,5940,7098,2076,2991,1919,2583,944,5670,339,7953,5391,6504,2169,3963,1553,2614,678,4911,454,7655,5301,4720,2551,3448,1589,2389,584,4623,367,8132,5195,3954,1812,3095,1392,2457,578,4592,309,7891,4619,4100,1471,2944,1528,3755,825,5067,386,7904,3775,4247,1638,3031,1616,2487,794,5118,398,9046,4368,3726,1889,2093,1427,2520,569,3678,487,7857,4608,3465,1238,1522,1285,3072,407,4562,317,6054,3660,3259,1719,2064,0,2702,410,4176,423,7290,3899,3208,1287,1630,0
ê√â™åß,W,O,8459,740,4335,426,8090,6561,4502,2381,3761,1655,7863,708,3791,479,6343,4600,4690,1576,6169,1043,9191,993,3666,368,7835,5663,4439,2353,7218,1564,9717,483,3936,372,6797,4913,3459,2050,3395,1490,10104,822,2651,372,6577,3889,4288,1790,3272,1241,6600,414,4106,451,7746,5404,3666,1118,3510,985,10341,709,3828,445,7151,4413,4729,1568,2991,1576,11533,568,3353,247,6748,3795,3782,1377,4516,1183,9435,770,2937,380,6597,3343,3444,1294,3029,0,11280,713,2660,286,6713,3400,3873,1227,5199,0
