pref,ntt,nikkei,och2022,tea2022,cof2022,coc2022,fru2022,sod2022,yak2022,lac2022,wat2022,spo2022,och2021,tea2021,cof2021,coc2021,fru2021,sod2021,yak2021,lac2021,wat2021,spo2021,och2020,tea2020,cof2020,coc2020,fru2020,sod2020,yak2020,lac2020,wat2020,spo2020,och2019,tea2019,cof2019,coc2019,fru2019,sod2019,yak2019,lac2019,wat2019,spo2019,och2018,tea2018,cof2018,coc2018,fru2018,sod2018,yak2018,lac2018,wat2018,spo2018,och2017,tea2017,cof2017,coc2017,fru2017,sod2017,yak2017,lac2017,wat2017,spo2017,och2016,tea2016,cof2016,coc2016,fru2016,sod2016,yak2016,lac2016,wat2016,spo2016,och2015,tea2015,cof2015,coc2015,fru2015,sod2015,yak2015,lac2015,wat2015,spo2015,och2014,tea2014,cof2014,coc2014,fru2014,sod2014,yak2014,lac2014,wat2014,spo2014,och2013,tea2013,cof2013,coc2013,fru2013,sod2013,yak2013,lac2013,wat2013,spo2013
à§ímåß,W,O,3454,921,5066,566,7093,5622,5565,2041,3559,1292,3811,572,4989,366,6433,6141,5470,2779,3316,1116,3895,956,5897,253,7684,6336,3645,2179,2475,970,3773,633,5463,406,8010,4704,2914,1576,3161,1182,3141,521,4514,427,8262,4616,2977,1611,3167,1135,3460,572,5968,554,9168,4821,4235,1420,3141,1085,3517,937,4233,390,8784,4564,3652,1382,2771,1248,3438,702,4093,468,7582,3966,3849,1440,2059,1293,4211,959,4457,372,8770,4607,3244,1430,3063,0,4100,879,4540,329,8174,3698,2216,1213,2386,0
éOèdåß,W,O,2801,540,5107,366,6637,6208,5097,2700,3125,1050,3307,707,4079,285,7180,6097,4703,2419,2622,1059,3966,802,3733,358,7677,6381,3882,2365,2488,1139,3488,822,5435,395,7717,4183,3801,1784,3324,1089,4346,760,4455,430,7924,3864,3596,2028,3257,1514,3804,812,5060,612,8759,4105,4851,1804,3184,1207,4202,774,3958,432,7443,3995,4494,1392,2560,1255,3137,539,4611,282,7505,3818,4103,1792,2699,1380,3765,774,3769,274,7623,3454,4927,1343,1617,0,3900,616,4113,406,7971,3574,3013,1552,2749,0
é†âÍåß,W,K,2654,1168,5226,349,8019,6315,3803,2263,4126,1344,3657,1221,4499,534,6885,6255,3196,2305,3408,952,2987,995,4469,332,8300,5682,3271,2280,2253,1314,4197,1064,4958,334,8707,4688,3326,2012,1919,1120,3706,778,4783,508,6928,5315,2748,1724,1620,1205,3035,766,4280,460,7699,4579,3278,1598,2555,995,3868,1251,3898,455,7560,5402,3478,1785,1943,1399,3163,598,3952,430,8001,3826,2826,1608,2217,1198,3433,900,4180,589,9081,3641,3283,1529,2834,0,3618,1044,3639,487,6370,3930,3613,1143,1488,0
ãûìsï{,W,K,4496,1548,4199,312,7345,6902,2863,2677,2870,1448,2650,685,5557,370,7828,6460,2851,2021,4254,1204,3208,958,4228,369,9816,5394,3364,1594,3696,1303,4064,992,3822,247,7097,3357,2994,1457,2453,907,3263,1029,3268,278,8042,5027,3091,1104,1870,1056,4343,962,3478,435,7061,3638,3350,1296,2882,832,4612,910,3708,345,8469,4391,2570,1868,2997,1107,3965,1004,4933,282,7512,3602,3102,1125,2765,1049,4424,1350,3825,364,9641,5567,3193,1546,2778,0,4407,1013,3648,326,7491,4529,3063,1295,2524,0
ëÂç„ï{,W,K,2448,943,5050,318,6760,6817,7110,3141,3739,1532,2333,562,4903,345,6960,6996,3937,3573,4209,1431,2346,547,4494,349,7123,6886,3075,3393,3166,1349,3231,807,4723,335,7768,5982,3886,3602,3577,1177,2515,773,4503,630,8769,5994,4241,2364,2935,1147,2456,857,4015,312,7299,5705,4353,1606,2482,1419,3502,751,5145,306,8019,5240,3859,2058,4200,874,2866,661,4634,254,7626,4836,2656,1933,3056,1420,2254,680,4840,299,7785,5197,3606,1632,2796,0,2867,733,4247,292,8145,4965,3230,1199,3036,0
ï∫å…åß,W,K,2375,1298,4028,339,5930,6273,6347,3085,3166,990,2404,1574,4007,300,6627,6992,4806,2390,2503,1079,2599,1237,3868,304,5789,4690,4213,2106,2867,1543,2384,1259,5897,475,7852,4586,3483,3258,2373,1170,2686,1193,5092,351,7391,4524,3340,2415,2666,994,3392,1015,4352,351,7184,5485,3637,2100,1744,901,2682,1173,3497,338,7732,4276,3442,1520,3051,1235,2967,1404,2636,352,7534,4045,4097,1065,1805,789,2331,1476,3271,402,7052,3407,2909,1250,1786,0,3602,1754,3679,279,7618,3279,2501,1216,3718,0
ìﬁó«åß,W,K,3511,874,4173,594,7647,6066,4989,2896,2896,2012,3680,1076,4065,358,8369,6028,5538,2184,3270,931,4375,1238,3316,592,8498,5871,4415,1878,3583,1207,3086,926,4541,473,9164,4993,4296,2276,3675,1445,3526,845,4837,484,8355,4710,3162,1688,3109,1159,3567,1210,3870,460,6999,3771,3824,1654,3212,1021,4233,1117,4156,407,7783,4747,4220,1564,3137,1215,4065,773,3430,322,9489,5091,4237,1469,2053,1258,3341,982,3299,365,8870,4422,3402,1456,2663,0,5905,1127,3601,603,8153,4305,2281,1276,1949,0
òaâÃéRåß,W,K,2042,440,5285,334,5397,5367,5206,2595,4457,1649,2237,669,5038,516,8298,4608,3477,2472,4280,1023,2017,698,5324,372,7281,5578,4241,2215,2820,1112,2103,503,4558,289,7004,4118,3899,2092,4015,1013,2816,634,4492,429,7797,3785,5187,1256,2964,1343,2426,604,5128,349,8119,3707,4795,1800,2697,1068,2601,617,4257,277,6822,4501,4654,1128,2412,1240,2159,507,5544,259,7263,4078,4184,1414,2791,951,2788,827,5119,410,7548,3369,4835,1543,3255,0,2372,621,4583,467,9313,3914,3954,1270,2072,0
íπéÊåß,W,O,1653,388,5369,387,7052,7631,3756,2129,1913,1463,1677,518,5540,362,6841,6570,4303,2834,1534,1166,1915,338,6394,486,7242,7042,4631,2717,6859,1202,2153,564,5631,516,7877,5535,3329,2882,2037,1350,1838,460,4867,466,6656,6522,3741,2077,1543,2032,1779,449,4668,431,7041,6328,4677,2844,2312,1056,1713,498,4066,449,6963,5054,2855,2086,1760,1382,1831,516,4176,449,6410,4644,2928,2009,3075,1680,2068,360,4140,642,7442,5073,3924,3244,1136,0,1866,298,4855,378,9125,5731,3766,2135,867,0
ìáç™åß,W,O,2719,768,4011,369,6666,6664,3503,2262,3270,1176,3104,747,3896,378,6487,6526,3549,3099,4199,869,2714,792,2899,642,6043,6689,3836,2969,3045,1254,4018,879,3342,380,6450,4063,3459,2429,3632,1141,4421,726,4100,694,7605,4385,2921,2307,4704,1524,3929,773,5158,620,7812,4160,2898,3102,3023,976,3827,514,3968,395,7514,4359,2306,1616,6224,1128,3705,509,4095,441,6878,3619,3072,1624,2180,1404,4979,546,2926,494,5613,3351,2276,1642,1759,0,5025,607,3648,402,7458,3804,2670,1393,2573,0
â™éRåß,W,O,1609,703,6149,430,7721,6096,5199,4118,3582,2007,1312,634,5237,338,7326,6835,3756,3855,2982,1778,1313,767,6050,396,7726,5614,3454,3393,2369,1208,2231,856,5230,330,9005,6676,3880,3226,3450,1513,1835,748,4916,290,9498,4873,4273,2335,2683,1512,2563,805,4822,500,8732,5782,4102,1876,3371,1893,1906,952,4410,511,8610,5841,3619,2822,2726,2168,2098,652,4645,576,8890,4609,3245,2221,1827,1425,1896,752,5110,367,10778,6117,2776,2256,2424,0,1964,723,4083,331,8931,4893,2730,1629,1696,0
çLìáåß,W,O,1637,716,5754,326,8708,9872,4210,2735,3453,1819,1735,532,5601,411,7805,7162,3376,3096,3552,1551,2206,727,3791,411,8526,5261,4880,2928,3229,1438,2276,908,4276,287,8312,6031,3688,2571,3309,1633,1890,491,4424,314,8507,5243,3570,2019,2691,1908,2257,713,4941,484,7854,5198,2466,1527,3106,1672,2719,906,4639,558,9185,6045,2511,1571,2296,1863,2670,971,4300,389,9013,6189,2522,2452,2438,1242,2308,651,3546,479,8502,4355,2969,1512,1833,0,3002,860,3709,328,7582,4663,2831,1160,2024,0
éRå˚åß,W,O,1559,683,4349,435,7367,8083,4141,3741,3593,1776,2065,648,4834,423,7697,6930,2623,2690,3308,1395,1824,533,5303,383,8266,7735,3694,3705,2248,1467,2155,579,5909,536,7524,8098,3702,3501,2317,1423,2109,527,4709,447,8423,5737,2550,2622,1865,1578,2704,670,4630,463,6411,5052,2930,2235,2364,1631,2624,731,5337,579,7159,5945,3462,1882,2629,1505,2915,368,4584,639,7858,5355,3354,2261,2345,2248,2369,552,5492,589,7186,6470,3310,1971,2548,0,3118,591,4216,436,6576,5839,2639,1564,2361,0
ìøìáåß,W,O,2086,746,4213,205,7266,7135,4540,3363,4140,2024,2401,906,5342,363,7323,7568,3746,3689,4430,2342,2188,533,5995,371,8253,8486,4576,2217,3744,1498,2067,480,4374,401,8706,5127,2535,2960,2409,1425,3374,556,5956,434,8005,6183,2784,2470,4028,2572,2778,641,6262,338,9420,6491,3687,2815,2016,2132,2097,590,5965,475,10916,5864,3269,2208,2373,1891,2371,587,6087,336,8254,5173,2973,2418,2383,2111,2692,842,5321,220,9557,5680,4152,2191,2726,0,2046,693,4721,299,9614,5267,2833,2347,2877,0
çÅêÏåß,W,O,2376,696,6071,576,7684,7464,4971,3701,5190,1590,1885,517,6004,352,6926,6663,3167,2412,3867,1504,1553,502,5781,315,8034,8300,3980,3560,4201,1703,2233,826,5980,256,8509,7019,2694,2836,3939,1310,2580,569,4893,348,9307,5448,4211,2571,3091,1551,2026,617,4379,415,8774,4970,3321,2090,2681,1353,2136,520,4795,276,8530,4667,2924,1702,3287,1320,2584,505,4338,321,8867,4872,3660,1602,4109,1082,2880,446,5266,383,9780,6221,2671,1729,3296,0,2188,617,4063,435,8598,4197,1792,1290,2933,0
à§ïQåß,W,O,1658,563,3545,378,7178,5417,5132,1702,3151,1676,2614,511,3475,267,6830,6266,4214,2278,3481,1438,1748,567,4214,464,8006,5844,5162,2434,4980,1515,1847,623,4114,426,7530,5080,2633,2323,3691,1538,2543,623,4187,349,7674,4995,4022,1908,3855,1838,2359,496,4890,445,10419,4953,3911,2297,3779,1376,1546,542,3665,331,8245,5034,4784,1962,3726,1912,2172,554,3835,317,7297,4344,2956,1592,4057,1254,2129,503,5534,413,8641,4602,3939,1866,2214,0,2028,564,4102,427,10576,4984,3728,1489,3407,0
çÇímåß,W,O,1862,533,5906,315,7185,6766,5027,3204,3294,1780,1753,614,4868,333,7540,5503,3793,3201,2267,1247,1573,745,4974,300,8808,5835,3511,2945,4872,1566,1945,685,5939,305,6927,6094,4168,3332,3860,1963,2138,583,4693,341,8086,6178,3521,2246,2364,1685,1883,693,4778,429,7547,4637,3093,2386,5203,1595,1767,520,4455,384,7517,6676,3921,2890,2644,2168,1707,774,4761,338,7886,4649,4470,3705,3265,1815,1938,422,4382,330,8746,4114,4775,3154,2930,0,1309,796,4777,270,8644,5010,3249,2768,1778,0
ïüâ™åß,W,O,3283,642,3775,397,7065,7583,3083,2339,4844,1094,3762,1111,4966,402,7767,6576,3191,1793,3148,831,3892,1255,4237,355,6715,6649,3078,1887,4274,929,3433,743,3475,356,7705,5087,3437,1698,4375,914,5014,1005,3934,338,7564,5942,2728,1359,3218,1365,4632,1320,3745,402,9248,4204,2745,881,4468,988,3807,968,3959,389,9117,4064,3982,1183,3964,957,5944,1057,3546,288,7768,3675,2495,1225,2575,925,5223,738,3398,441,8365,4441,2159,952,3028,0,4165,796,3062,334,8564,4027,2163,981,3768,0
ç≤âÍåß,W,O,4897,751,4478,290,6414,7555,4441,2211,2756,1471,4864,442,3712,290,6374,7811,4407,2684,2637,1087,5265,392,4176,330,6869,7852,4889,2017,4222,1259,4081,485,4288,485,6239,6053,3817,2165,2352,1377,5165,506,3912,362,6069,5497,4672,1893,2476,1234,5563,618,3838,389,7492,5437,4033,1835,2782,1084,6212,726,3317,385,7133,5187,4644,1348,3370,1487,6811,581,3667,342,6561,5659,2648,2059,3367,1000,5637,1039,3746,296,6259,4608,3560,1304,2685,0,7722,455,2872,363,7785,5780,4689,2504,1595,0
í∑çËåß,W,O,5477,534,3865,334,8763,4767,5195,2353,2969,1306,5484,795,3434,371,6843,5647,4965,2770,4308,932,5951,449,3592,340,6391,5739,3977,1643,3688,807,6706,626,3378,329,5832,3914,3167,1527,3576,1104,6371,665,2955,409,6778,3820,4308,1179,3740,1103,6963,704,4069,417,6860,6315,3222,1530,3566,1030,5778,534,4039,403,6911,4424,4433,936,2742,1253,5269,756,3277,348,6525,4039,3820,1153,2302,988,6903,700,2834,318,7466,3150,2629,895,2627,0,5792,797,2387,350,7556,3591,2601,1390,2196,0
åFñ{åß,W,O,3916,738,3717,247,6890,6555,5083,2217,2673,1447,3695,481,5585,222,6018,8365,5145,2143,2687,1051,3680,702,4398,286,6130,6690,5177,2799,2852,1349,4485,572,5177,360,6452,6805,4509,2189,1968,1396,4621,540,4389,228,6423,6003,3481,2099,2903,1449,5212,626,3297,331,7165,6599,3872,1622,4094,884,4840,552,3069,439,6949,5649,3690,1456,3295,1734,5281,636,3823,391,8873,5439,2968,1955,1421,1762,5908,690,3621,312,7077,6160,4045,1629,1848,0,5812,514,2368,444,6379,5369,4316,976,1433,0
ëÂï™åß,W,O,3305,896,4995,315,5556,7236,2292,1600,4110,1250,3819,684,4087,301,6824,6021,2083,1786,4316,859,3457,400,4783,413,7465,6240,2887,2649,3245,1046,4085,336,4221,307,6451,5296,1665,1554,3380,1124,5180,704,4019,332,8204,4165,1730,1344,4062,1514,5236,605,3553,544,8461,4184,1853,1857,3960,1232,5770,646,3803,326,8566,3762,1879,903,3933,1044,4172,757,4244,402,7735,4349,1987,1398,2735,1198,4306,895,4602,176,8199,4443,1929,1355,3393,0,5391,1171,3124,326,8704,3754,1901,994,2757,0
ã{çËåß,W,O,4260,555,3865,609,5576,6764,5085,1994,4506,1631,4479,454,3863,389,6520,6039,7152,2562,3538,1078,4314,399,4756,384,6230,7480,3811,2040,2769,1246,3235,332,4975,558,7152,5519,5170,1740,4616,1086,4095,331,4046,383,6680,4732,5075,1816,4064,1474,5176,369,4820,344,7190,4866,6702,1628,3788,1146,2869,679,3343,351,6539,4697,4253,1688,3302,1636,4527,370,3107,357,6378,3927,3569,1377,3152,1540,6458,357,2948,296,7032,3515,3122,1166,2937,0,4609,555,3502,312,7195,3933,3400,1756,2343,0
é≠éôìáåß,W,O,5611,452,3519,356,8102,5696,11567,1902,4333,1731,5786,506,3859,233,7752,5761,9982,2092,5388,1170,5557,641,2820,436,8327,5945,7469,1849,4932,1481,7464,626,3519,613,8870,4362,9854,1717,3856,2012,4424,353,3159,373,7220,4204,8796,1659,3213,1391,7390,540,3265,365,6149,3548,9985,1379,3061,1364,9219,674,2522,526,6112,3395,8482,869,3746,1363,5859,722,3481,291,7571,4158,8382,1195,3283,924,5390,586,3059,349,7978,3884,6788,1549,3558,0,5565,561,2769,558,8618,4752,6360,1842,3370,0
â´ìÍåß,W,O,1374,567,5651,633,6453,7349,4699,2701,6776,1259,1219,593,6744,503,6389,8142,5272,2431,6328,1126,1785,756,6092,574,7887,6108,4587,2227,6895,989,1372,517,5740,481,7109,5348,2950,2189,4804,965,1364,527,4778,732,7872,5514,3642,1754,5957,1295,1525,668,5176,573,8091,5405,4549,1714,5948,1337,1255,423,5724,701,7824,5868,3306,1939,5285,1677,1416,497,4661,519,7700,5541,3356,1234,5583,1226,1422,670,4575,551,6772,5296,3197,1110,4274,0,1231,599,4169,603,7688,6237,3197,1279,6106,0